"_ano_pesquisa","dimensao","cargo_atual","setor","valor","qtd_respondentes"
"2023","prioridade_empresa_ia",,"Marketing","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","5"
"2023","prioridade_empresa_ia",,"Outra Opção","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","5"
"2023","prioridade_empresa_ia",,"Setor de Energia","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","5"
"2023","prioridade_empresa_ia",,"Telecomunicação","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","5"
"2023","prioridade_empresa_ia",,"Finanças ou Bancos","Não sei opinar sobre esse assunto.","5"
"2023","prioridade_empresa_ia",,"Marketing","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","4"
"2023","prioridade_empresa_ia",,"Internet/Ecommerce","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","4"
"2023","prioridade_empresa_ia",,"Educação","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","4"
"2023","prioridade_empresa_ia",,"Setor Imobiliário/ Construção Civil","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","4"
"2023","prioridade_empresa_ia",,"Entretenimento ou Esportes","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","4"
"2023","prioridade_empresa_ia",,"Setor Público","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","4"
"2023","prioridade_empresa_ia",,"Setor Alimentício","Não sei opinar sobre esse assunto.","4"
"2023","prioridade_empresa_ia",,"Agronegócios","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","4"
"2023","prioridade_empresa_ia",,"Seguros ou Previdência","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","3"
"2023","prioridade_empresa_ia",,"Varejo","Não sei opinar sobre esse assunto.","3"
"2023","prioridade_empresa_ia",,"Telecomunicação","Não sei opinar sobre esse assunto.","3"
"2023","prioridade_empresa_ia",,"Setor Público","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","3"
"2023","prioridade_empresa_ia",,"Setor Automotivo","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","3"
"2023","prioridade_empresa_ia",,"Telecomunicação","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","3"
"2023","prioridade_empresa_ia",,"Setor Automotivo","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","3"
"2023","prioridade_empresa_ia",,"Educação","Não sei opinar sobre esse assunto.","3"
"2023","prioridade_empresa_ia",,"Filantropia/ONG's","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","2"
"2023","prioridade_empresa_ia",,"Internet/Ecommerce","Não sei opinar sobre esse assunto.","2"
"2023","prioridade_empresa_ia",,"Entretenimento ou Esportes","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","2"
"2023","prioridade_empresa_ia",,"Setor Farmaceutico","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","2"
"2023","prioridade_empresa_ia",,"Seguros ou Previdência","Não sei opinar sobre esse assunto.","2"
"2023","prioridade_empresa_ia",,"Agronegócios","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","2"
"2023","prioridade_empresa_ia",,"Entretenimento ou Esportes","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","2"
"2023","prioridade_empresa_ia",,"Telecomunicação","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","2"
"2023","prioridade_empresa_ia",,"Setor de Energia","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","2"
"2023","prioridade_empresa_ia",,"Área da Saúde","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","2"
"2023","prioridade_empresa_ia",,"Seguros ou Previdência","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","1"
"2023","prioridade_empresa_ia",,"Setor Público","Não sei opinar sobre esse assunto.","1"
"2023","prioridade_empresa_ia",,"Setor Farmaceutico","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","1"
"2023","prioridade_empresa_ia",,"Filantropia/ONG's","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","1"
"2023","prioridade_empresa_ia",,"Filantropia/ONG's","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","1"
"2023","prioridade_empresa_ia",,"Setor Automotivo","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","1"
"2023","prioridade_empresa_ia",,"Seguros ou Previdência","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","1"
"2023","prioridade_empresa_ia",,"Setor de Energia","Não sei opinar sobre esse assunto.","1"
"2023","prioridade_empresa_ia",,"Setor de Energia","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","1"
"2023","prioridade_empresa_ia",,"Filantropia/ONG's","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","1"
"2023","prioridade_empresa_ia",,"Área da Saúde","Não sei opinar sobre esse assunto.","1"
"2023","prioridade_empresa_ia",,"Setor Imobiliário/ Construção Civil","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","1"
"2023","prioridade_empresa_ia",,"Filantropia/ONG's","Não sei opinar sobre esse assunto.","1"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Tecnologia/Fábrica de Software","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","113"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Finanças ou Bancos","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","112"
"2023","uso_individual_ia","Engenheiro de Dados/Data Engineer/Data Architect","Tecnologia/Fábrica de Software","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","95"
"2023","uso_individual_ia","Cientista de Dados/Data Scientist","Finanças ou Bancos","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","95"
"2023","uso_individual_ia","Cientista de Dados/Data Scientist","Tecnologia/Fábrica de Software","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","72"
"2023","uso_individual_ia","Engenheiro de Dados/Data Engineer/Data Architect","Área de Consultoria","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","67"
"2023","uso_individual_ia","Engenheiro de Dados/Data Engineer/Data Architect","Finanças ou Bancos","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","67"
"2023","uso_individual_ia","Analista de BI/BI Analyst","Tecnologia/Fábrica de Software","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","63"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Varejo","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","54"
"2023","uso_individual_ia","Analista de BI/BI Analyst","Finanças ou Bancos","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","54"
"2023","uso_individual_ia","Cientista de Dados/Data Scientist","Área de Consultoria","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","48"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Finanças ou Bancos","Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.","43"
"2023","uso_individual_ia","Engenheiro de Dados/Data Engineer/Data Architect","Finanças ou Bancos","Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.","40"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Outra Opção","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","40"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Área da Saúde","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","38"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Área de Consultoria","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","37"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Educação","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","36"
"2023","uso_individual_ia","Engenheiro de Dados/Data Engineer/Data Architect","Varejo","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","35"
"2023","uso_individual_ia","Analista de BI/BI Analyst","Indústria","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","34"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Indústria","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","33"
"2023","uso_individual_ia","Analista de BI/BI Analyst","Outra Opção","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","32"
"2023","uso_individual_ia","Analista de Negócios/Business Analyst","Finanças ou Bancos","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","32"
"2023","uso_individual_ia","Cientista de Dados/Data Scientist","Finanças ou Bancos","Utilizo soluções no estilo ""Copilot"" (exemplo: Github Copilot, Amazon CodeWhisperer ou ChatGPT Plus) para ter mais produtividade no dia a dia.","31"
"2023","uso_individual_ia","Cientista de Dados/Data Scientist","Indústria","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","31"
"2023","uso_individual_ia","Cientista de Dados/Data Scientist","Finanças ou Bancos","Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.","28"
"2023","uso_individual_ia","Cientista de Dados/Data Scientist","Varejo","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","27"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Setor Público","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","26"
"2023","uso_individual_ia","Engenheiro de Dados/Data Engineer/Data Architect","Tecnologia/Fábrica de Software","Utilizo soluções no estilo ""Copilot"" (exemplo: Github Copilot, Amazon CodeWhisperer ou ChatGPT Plus) para ter mais produtividade no dia a dia.","26"
"2023","uso_individual_ia","Engenheiro de Dados/Data Engineer/Data Architect","Varejo","Utilizo soluções no estilo ""Copilot"" (exemplo: Github Copilot, Amazon CodeWhisperer ou ChatGPT Plus) para ter mais produtividade no dia a dia.","26"
"2023","uso_individual_ia","Analista de BI/BI Analyst","Varejo","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","25"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Telecomunicação","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","25"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Marketing","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","24"
"2023","uso_individual_ia","Cientista de Dados/Data Scientist","Área da Saúde","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","24"
"2023","uso_individual_ia","Analista de BI/BI Analyst","Área de Consultoria","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","24"
"2023","uso_individual_ia","Cientista de Dados/Data Scientist","Tecnologia/Fábrica de Software","Utilizo soluções no estilo ""Copilot"" (exemplo: Github Copilot, Amazon CodeWhisperer ou ChatGPT Plus) para ter mais produtividade no dia a dia.","22"
"2023","uso_individual_ia","Cientista de Dados/Data Scientist","Outra Opção","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","22"
"2023","uso_individual_ia","Engenheiro de Dados/Data Engineer/Data Architect","Finanças ou Bancos","Utilizo soluções no estilo ""Copilot"" (exemplo: Github Copilot, Amazon CodeWhisperer ou ChatGPT Plus) para ter mais produtividade no dia a dia.","22"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Finanças ou Bancos","Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e a empresa em que trabalho paga pela solução.","22"
"2023","uso_individual_ia","Engenheiro de Dados/Data Engineer/Data Architect","Outra Opção","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","21"
"2023","uso_individual_ia","Outra Opção","Tecnologia/Fábrica de Software","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","20"
"2023","uso_individual_ia","Engenheiro de Dados/Data Engineer/Data Architect","Tecnologia/Fábrica de Software","Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.","20"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Agronegócios","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","19"
"2023","uso_individual_ia","Analista de Negócios/Business Analyst","Tecnologia/Fábrica de Software","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","19"
"2023","uso_individual_ia","Analista de Negócios/Business Analyst","Finanças ou Bancos","Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.","19"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Tecnologia/Fábrica de Software","Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.","19"
"2023","uso_individual_ia","Analista de BI/BI Analyst","Outra Opção","Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.","18"
"2023","uso_individual_ia","Outra Opção","Finanças ou Bancos","Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.","18"
"2023","uso_individual_ia","Outra Opção","Outra Opção","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","18"
"2023","uso_individual_ia","Engenheiro de Dados/Data Engineer/Data Architect","Indústria","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","18"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Internet/Ecommerce","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","18"
"2023","uso_individual_ia","Cientista de Dados/Data Scientist","Varejo","Utilizo soluções no estilo ""Copilot"" (exemplo: Github Copilot, Amazon CodeWhisperer ou ChatGPT Plus) para ter mais produtividade no dia a dia.","18"
"2023","uso_individual_ia","Analista de BI/BI Analyst","Finanças ou Bancos","Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.","17"
"2023","uso_individual_ia","Analista de BI/BI Analyst","Marketing","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","17"
"2023","uso_individual_ia","Analytics Engineer","Finanças ou Bancos","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","17"
"2023","uso_individual_ia","Cientista de Dados/Data Scientist","Finanças ou Bancos","Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e a empresa em que trabalho paga pela solução.","16"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Finanças ou Bancos","Utilizo soluções no estilo ""Copilot"" (exemplo: Github Copilot, Amazon CodeWhisperer ou ChatGPT Plus) para ter mais produtividade no dia a dia.","16"
"2023","uso_individual_ia","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Tecnologia/Fábrica de Software","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","16"
"2023","uso_individual_ia","Analista de Dados/Data Analyst","Varejo","Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.","16"
"2023","uso_individual_ia","Professor/Pesquisador","Educação","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","16"
"2023","uso_individual_ia","Analista de BI/BI Analyst","Tecnologia/Fábrica de Software","Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.","16"
"2023","uso_individual_ia","Cientista de Dados/Data Scientist","Finanças ou Bancos","Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e pago do meu próprio bolso.","15"
"2023","uso_individual_ia","Engenheiro de Dados/Data Engineer/Data Architect","Tecnologia/Fábrica de Software","Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e pago do meu próprio bolso.","15"
"2023","uso_individual_ia","Analytics Engineer","Tecnologia/Fábrica de Software","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","15"
"2023","uso_individual_ia","Analytics Engineer","Finanças ou Bancos","Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.","15"
"2023","uso_individual_ia","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Varejo","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","15"
"2023","uso_individual_ia","Cientista de Dados/Data Scientist","Tecnologia/Fábrica de Software","Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.","14"
"2023","uso_individual_ia","Analista de BI/BI Analyst","Setor Público","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","14"
"2023","uso_individual_ia","Engenheiro de Dados/Data Engineer/Data Architect","Área de Consultoria","Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.","14"
"2023","uso_individual_ia","Outra Opção","Finanças ou Bancos","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","14"
"2023","uso_individual_ia","Cientista de Dados/Data Scientist","Área de Consultoria","Utilizo soluções no estilo ""Copilot"" (exemplo: Github Copilot, Amazon CodeWhisperer ou ChatGPT Plus) para ter mais produtividade no dia a dia.","14"
"2023","uso_individual_ia","Analista de BI/BI Analyst","Área da Saúde","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","14"
"2023","uso_individual_ia","Cientista de Dados/Data Scientist","Tecnologia/Fábrica de Software","Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e pago do meu próprio bolso.","13"
"2023","uso_individual_ia","Cientista de Dados/Data Scientist","Setor Público","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","13"
"2023","uso_individual_ia","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Tecnologia/Fábrica de Software","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","13"
"2023","uso_individual_ia","Outra Opção","Indústria","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","13"
"2023","uso_individual_ia","Outra Opção","Setor Público","Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","13"
